error,time,iterations,evaluations,p1,p2,p3,p4,p5,p6,p7,p8,p9
1390.9750654775464,608.1131847939998,2159,18959,0.0003380325816982829,0.07534084319994695,7.705682790645696e-05,0.048047685192872266,0.10007932045273109,0.013464817937062539,0.006111105621447548,0.029805638008509768,147.2722333133339
1390.9752178253486,401.0984651420001,1287,12261,0.0003380327058581123,0.07534538465450709,7.705274890878078e-05,0.04804794952330339,0.100072087304033,0.013462125720028655,0.006110923827168228,0.029808392756542984,147.2656946643501
1390.975019425289,345.338141297,1069,10139,0.00033794607116254064,0.07534495019483897,7.705143746485144e-05,0.04804851607332192,0.1000528593529311,0.01346094591281244,0.0061095609442335915,0.029808558136994425,147.27473841028748
1390.9750016431358,401.041755514,1354,12883,0.00033793275230812746,0.07534530328566018,7.704699986474492e-05,0.04804895773661516,0.10006260109113907,0.013462436835127937,0.006109850949685976,0.02980701047443734,147.28018167620274
1390.975066691487,411.03060129899995,1348,13150,0.0003379523037351641,0.07533909446263401,7.704831777744167e-05,0.04804908578940601,0.10006087522802583,0.013462428989722091,0.0061093863393258336,0.02980705856036987,147.28798164661322
1390.9750187741797,357.8332359650012,1171,11199,0.0003379636326704844,0.07534605390004792,7.705159977909624e-05,0.04804848113645948,0.10005583333769888,0.013461835023192332,0.0061096584672867575,0.029807374197130965,147.27666666805393
1390.975087268036,337.7718252939994,1066,10194,0.00033790181397556267,0.0753460100952405,7.705393989101378e-05,0.04804767950884938,0.10005106162351803,0.013461698930455146,0.006109698897027508,0.029809207378707934,147.26756177176634
1390.9750840916693,251.72213736199774,806,7698,0.00033798744088505084,0.07534151531903913,7.70608020902921e-05,0.04804675473077896,0.10007067707447832,0.013463886703439244,0.006110916609115356,0.029806255445937468,147.26943793856103
1390.9751592755154,297.1803442970013,987,9768,0.00033801350531864616,0.07533915607123255,7.70543850624263e-05,0.048048150081459975,0.10006898722096302,0.013463906860465832,0.006110608363740109,0.02980634352934738,147.27200280038932
1390.9750211702917,444.864133107003,1592,14394,0.0003379871914908329,0.07534507595880399,7.704879693986688e-05,0.048048889885644264,0.10007525022516019,0.013463344603770227,0.006110663095676014,0.029806529954380188,147.27594698953146
1390.9750605415477,301.40253939099784,1058,9776,0.0003379684860643185,0.07534196206735148,7.705727084208757e-05,0.04804747460146159,0.1000378340913813,0.013461533013866633,0.006108807595936735,0.029808697357540163,147.27171373094632
1390.9750141519983,316.30575680699985,1054,9942,0.00033795833858882686,0.07535476751581903,7.705310584496151e-05,0.04804811278718427,0.10005766901980165,0.013464422257528008,0.006109834563768832,0.029806838135550247,147.26779579147825
1390.975009906281,272.92211666000003,906,8831,0.00033795261258633954,0.0753514660807161,7.70584167205445e-05,0.04804645119472205,0.10006840584198431,0.013463769828842778,0.006111244528348875,0.02980718513801609,147.25634447897545
1390.975129073428,710.6524812069983,2789,21815,0.00033798277608568304,0.075343327518725,7.704925579804658e-05,0.0480484502484976,0.10007044955457278,0.01346270309281448,0.006110511239031811,0.02980677039064488,147.27565393254895
1390.975207780767,569.7668979139999,2111,17487,0.00033801745693162874,0.0753314149766904,7.705363225226344e-05,0.04804807367536544,0.1000588526331001,0.013462245204035474,0.006109585382555404,0.029807395792742417,147.28139023013458
1390.9751292603476,274.00187517799714,914,8944,0.00033799320098166596,0.0753432674911754,7.704954548613249e-05,0.04804847648505163,0.10006920084070073,0.01346323902896034,0.006110276372523217,0.029806654580173297,147.27831078968646
1390.9750343174799,386.8142207610035,1413,12204,0.00033799142406510426,0.07534423921688697,7.70567112019054e-05,0.048047799781916894,0.10004987259865998,0.013462426399642402,0.006109304892970094,0.029808355145416646,147.27473412925326
1390.9751980306235,338.7839573029996,1100,10225,0.0003380171888098837,0.07534164920556276,7.705330622843963e-05,0.04804814518074255,0.10003900574971264,0.013459604787763915,0.0061088897385249,0.029810702880889956,147.26869996591762
1390.9751015076492,405.4920729160003,1514,12462,0.0003379973504117374,0.07534176755251447,7.705121873586138e-05,0.048048192446014625,0.10006552682232275,0.013462141660154654,0.006110568413438408,0.029808174934330522,147.2676369855877
1390.9751541156218,647.2170883930012,2473,20235,0.0003379677800645101,0.07534457023662297,7.704937004810101e-05,0.04804892107385961,0.10004028310056977,0.013459949135975651,0.006108807604907958,0.02981024336035751,147.27288005228533
1390.9749259606126,393.25514031499915,1365,12822,0.00033796526002529846,0.07534396763331473,7.704994667852035e-05,0.04804887268048975,0.10005522355911668,0.013461766431356013,0.006109181650939937,0.029807735456171092,147.2844596743999
1390.9750778445714,374.2321310469997,1307,11788,0.00033788975498512245,0.07534606000588327,7.705411336533346e-05,0.048047605557185645,0.10005567898802811,0.01346286299167139,0.006110106282755244,0.02980793488092199,147.26724966232342
1390.975090714597,427.35403069199674,1523,14159,0.00033809361566751613,0.07534523761128485,7.705772793108792e-05,0.0480475130606068,0.10006367913620556,0.013462824720906508,0.006110190269163029,0.029808130911597727,147.26857061847252
1390.9751108088028,363.39696047699545,1295,11593,0.00033794265468860914,0.07533732877127862,7.705159245025454e-05,0.048048061281595104,0.10004920336120783,0.013462167025478559,0.006109405710240164,0.02980824097955936,147.2722964659681
1390.975125553871,393.8444420960004,1352,12914,0.00033797623852925324,0.07534453810888146,7.705241757400217e-05,0.04804787342683,0.10004654669954773,0.013461526041519064,0.006109418686981845,0.029808370796777145,147.26851555934164
1390.9751267931924,524.3889186000015,2012,16542,0.0003380363815658042,0.07533847508709526,7.705754684652835e-05,0.048047570651479514,0.10005796886827738,0.01346339728023547,0.0061099193302596435,0.0298069704759385,147.27234772940102
1390.9750668883528,582.6021388080044,2203,19134,0.0003379988291740971,0.07534337908373376,7.705188667138241e-05,0.04804816371745202,0.1000710653646527,0.013463108323252922,0.006110685526678054,0.029806671421303558,147.27168032737498
1390.97512421971,276.4649097270012,925,8964,0.00033796203362841524,0.07534060870794038,7.705894398517222e-05,0.04804667101387335,0.10008257560384154,0.01346388005416305,0.006111838694161666,0.02980700668006931,147.2633072981333
1390.975120004767,454.5710468850011,1811,14696,0.00033796647206468556,0.07534175486725103,7.70567798598197e-05,0.04804756881872444,0.1000563316302885,0.013462931802624393,0.006109969072167822,0.029807660397686498,147.2693923792293
1390.9751020725887,408.28562526299356,1498,12508,0.000338014036502346,0.07533523892829902,7.705186918028905e-05,0.04804829134116333,0.10006760073491364,0.013464032986253373,0.0061103376940476566,0.029805832588760427,147.27615411603284
1390.9751042975092,369.2712218710003,1242,11665,0.0003379375296224721,0.0753438913457937,7.705531307919832e-05,0.048047877194209755,0.10004121601676072,0.0134612612188119,0.006108851796629831,0.02980888546359207,147.27557482508726
1390.975012126359,403.492245661997,1378,12808,0.00033799391335195714,0.07533822202260289,7.705201526131904e-05,0.04804840786182191,0.1000537398523082,0.013461643326969818,0.00610961218861262,0.02980847023632969,147.273298166531
1390.9751424895865,375.28758111100615,1262,11551,0.0003379645837017442,0.07533899801913808,7.704944019084596e-05,0.04804867602645624,0.10005574761883963,0.013460158533015637,0.006109587701925932,0.02980835209779555,147.27931035079405
1390.9750402125278,401.9938385650021,1427,13012,0.0003379384639773485,0.07534306284714677,7.704890801446207e-05,0.04804894517202019,0.10006429763635018,0.013463281969751691,0.006109878403691453,0.029806545518708805,147.2807962286891
1390.9751479907939,366.0672710700019,1155,11481,0.0003379613872564734,0.07534458459258064,7.705161859518959e-05,0.0480486067345341,0.10005639281840732,0.013462592159223819,0.006109709111227698,0.02980785326462823,147.27315697189445
1390.975127246608,349.78433974100335,1178,10520,0.00033792530419793164,0.07533986043912146,7.704563000307379e-05,0.048049126311364064,0.10006129316558061,0.013461641009365125,0.006110022323788906,0.029807031899012727,147.2796969196521
1390.9751302504376,360.1613074870038,1147,11188,0.0003379916431609651,0.07533538950918604,7.7050565930357e-05,0.048048413382408124,0.10004821758167233,0.013460848621677754,0.006109021020454755,0.02980840694073214,147.2780273471198
1390.9750957785554,553.4152558810019,2016,17074,0.00033798060761101227,0.07534392852401219,7.7050783329742e-05,0.04804855416295258,0.10006161223911904,0.013462363220060935,0.006109928140737285,0.02980770683631212,147.27657350310963
1390.975069885541,555.3544320729998,2033,17195,0.0003379148024675735,0.0753457144832935,7.70491000301123e-05,0.048048583309950765,0.10006202710228719,0.013462351110433424,0.006110155877418321,0.029806919179834038,147.2749179594911
1390.9750588468196,400.82090164099645,1297,12193,0.00033794178953103774,0.07534369365382503,7.705101453178966e-05,0.04804832046204062,0.10004355960865395,0.013460799142550337,0.006108729171392842,0.029808500928535202,147.2806558317853
1390.9750273230825,345.1700818879981,1157,10464,0.00033801631025779305,0.07534300014024958,7.705361536277702e-05,0.048047843615158646,0.1000660150511136,0.013463378312493654,0.006110766320273642,0.029807156101951306,147.2626489098095
1390.9750837520878,278.29229982099787,937,8963,0.0003379620821713288,0.07534386960276754,7.705527914388268e-05,0.0480480501777471,0.1000492889051561,0.013461403895242181,0.006109257274830005,0.029807891156264872,147.2779404365865
1390.975134019416,544.7002255380066,1861,16957,0.00033800541803796026,0.07534224661481548,7.705964825369642e-05,0.0480474357210818,0.10005857580167613,0.013463026209773526,0.006109732114713046,0.02980728086114311,147.27838691781892
1390.9751178375463,420.4877265930045,1459,13289,0.0003379766453664627,0.07534246700890357,7.70540002497638e-05,0.04804777797335904,0.10005724886843122,0.01346236030953565,0.006109862630648301,0.029807410218630363,147.27377967861278
1390.9751201070499,356.10249078999914,1129,10793,0.0003379812899913554,0.07534378476560268,7.704764950101514e-05,0.04804875512218387,0.10006205067343715,0.013463074161696356,0.006109866549908386,0.029806132533512223,147.27832577846902
1390.9750664799124,338.7545112270018,1046,10147,0.00033797350720461456,0.07534506414420593,7.705155805028268e-05,0.04804791331310666,0.10005532516967182,0.013461986266580033,0.006110166548377045,0.02980832494423375,147.26377159757791
1390.9751062769087,368.4712940219979,1243,11302,0.00033798228673336846,0.07533783695488255,7.705261386697753e-05,0.04804816206931239,0.10004903843295523,0.01346133364242336,0.006109446184090975,0.02980802842541966,147.27454288527372
1390.9751673584578,497.3044616499974,1792,15371,0.0003379747162123881,0.07533645287310581,7.705139350596519e-05,0.04804821777000618,0.10005408908301679,0.013462231854049102,0.006109753748499056,0.029807384830691105,147.2732684904494
1390.9750305332632,421.73434191900014,1445,13703,0.0003380287824561924,0.07534298297482206,7.705501793596196e-05,0.0480477715945575,0.10006628067130857,0.013464445613889816,0.006110528485205636,0.029806412248354168,147.26695536690136
1390.9750797330576,387.2019094089992,1223,12044,0.0003379754600292462,0.07534359282955923,7.705166447085944e-05,0.048048414437512656,0.10005085771644395,0.013462045798979456,0.006109474322491048,0.029807895590011405,147.2726285464464
